Pgen-contig,Hit-evalue,Hit-Entry,Hit-Gene ontology (GO),Hit-Protein names,Hit-Organism
Pgenerosa-v1_contig_1007,1.00E-119,Q9UHP3,SUMO binding; cytoplasm; nucleus; protein K48-linked deubiquitination; protein K63-linked deubiquitination; proteolysis; ubiquitin thiolesterase activity; ubiquitin-dependent protein catabolic process; ubiquitin-specific protease activity,Ubiquitin carboxyl-terminal hydrolase 25 (EC 3.4.19.12) (Deubiquitinating enzyme 25) (USP on chromosome 21) (Ubiquitin thioesterase 25) (Ubiquitin-specific-processing protease 25),Homo sapiens (Human)
Pgenerosa-v1_contig_10070,7.00E-17,Q92628,ATP binding,Uncharacterized protein KIAA0232,Homo sapiens (Human)
Pgenerosa-v1_contig_10071,5.00E-12,Q60542,"E-box binding; metal ion binding; negative regulation of transcription, DNA-dependent; nucleus; positive regulation of neuron differentiation; sequence-specific DNA binding; sequence-specific DNA binding transcription factor activity; transcription, DNA-dependent",Zinc finger E-box-binding homeobox 1 (Transcription factor 8) (TCF-8) (Zinc finger protein BZP),Mesocricetus auratus (Golden hamster)
Pgenerosa-v1_contig_10072,5.00E-178,Q58DW2,L-cysteine desulfhydrase activity; L-cystine L-cysteine-lyase (deaminating); cystathionine gamma-lyase activity; cysteine biosynthetic process; cytoplasm; hydrogen sulfide biosynthetic process; negative regulation of apoptotic process; positive regulation of I-kappaB kinase/NF-kappaB cascade; positive regulation of NF-kappaB transcription factor activity; protein sulfhydration; protein-pyridoxal-5-phosphate linkage via peptidyl-N6-pyridoxal phosphate-L-lysine; pyridoxal phosphate binding,Cystathionine gamma-lyase (EC 4.4.1.1) (Cysteine-protein sulfhydrase) (Gamma-cystathionase),Bos taurus (Bovine)
Pgenerosa-v1_contig_10074,0,Q10568,RNA binding; histone mRNA 3'-end processing; hydrolase activity; mRNA cleavage; mRNA cleavage and polyadenylation specificity factor complex; mRNA polyadenylation,Cleavage and polyadenylation specificity factor subunit 2 (Cleavage and polyadenylation specificity factor 100 kDa subunit) (CPSF 100 kDa subunit),Bos taurus (Bovine)
Pgenerosa-v1_contig_10079,1.00E-09,Q5M9G9,cellular respiration; mitochondrion; protein kinase activity; protein phosphorylation,Protein TBRG4 (Transforming growth factor beta regulator 4),Rattus norvegicus (Rat)
Pgenerosa-v1_contig_1008,5.00E-65,Q69BJ7,"2 iron, 2 sulfur cluster binding; integral to membrane; metal ion binding; mitochondrial inner membrane; respiratory chain; ubiquinol-cytochrome-c reductase activity","Cytochrome b-c1 complex subunit Rieske, mitochondrial (EC 1.10.2.2) (Complex III subunit 5) (Cytochrome b-c1 complex subunit 5) (Rieske iron-sulfur protein) (RISP) (Ubiquinol-cytochrome c reductase iron-sulfur subunit) [Cleaved into: Cytochrome b-c1 complex subunit 11 (Complex III subunit IX) (Ubiquinol-cytochrome c reductase 8 kDa protein)]",Saimiri sciureus (Common squirrel monkey)
Pgenerosa-v1_contig_10082,3.00E-50,Q8BN59,Golgi apparatus; RNA binding; RNA processing; nucleotide binding; nucleus; regulation of translation; ribonucleoprotein complex,La-related protein 6 (Acheron) (Achn) (La ribonucleoprotein domain family member 6),Mus musculus (Mouse)
Pgenerosa-v1_contig_10084,1.00E-66,Q91618,ATP binding; Golgi membrane; cell cycle; endoplasmic reticulum membrane; metal ion binding; negative regulation of phosphatase activity; protein serine/threonine kinase activity,Membrane-associated tyrosine- and threonine-specific cdc2-inhibitory kinase (EC 2.7.11.1) (Myt1 kinase),Xenopus laevis (African clawed frog)
Pgenerosa-v1_contig_1009,4.00E-15,P21328,RNA binding; RNA-dependent DNA replication; RNA-directed DNA polymerase activity,RNA-directed DNA polymerase from mobile element jockey (EC 2.7.7.49) (Reverse transcriptase),Drosophila melanogaster (Fruit fly)
Pgenerosa-v1_contig_10090,5.00E-14,Q8CP18,ATP binding; DNA replication; cytoplasm; protein folding; response to heat; zinc ion binding,Chaperone protein DnaJ,Staphylococcus epidermidis (strain ATCC 12228)
Pgenerosa-v1_contig_10093,6.00E-43,Q8SX83,"RNA binding; Wnt receptor signaling pathway; axon guidance; compound eye development; defense response to fungus; epidermal growth factor receptor signaling pathway; establishment of thoracic bristle planar orientation; glial cell fate determination; imaginal disc-derived wing vein morphogenesis; maintenance of imaginal disc-derived wing hair orientation; neuroblast fate determination; nucleotide binding; nucleus; peripheral nervous system development; positive regulation of Wnt receptor signaling pathway; regulation of transcription, DNA-dependent; segment specification; transcription, DNA-dependent; wing disc pattern formation",Protein split ends,Drosophila melanogaster (Fruit fly)
Pgenerosa-v1_contig_10094,5.00E-54,Q5EA33,"positive regulation of transcription, DNA-dependent",Ankyrin repeat domain-containing protein 49,Bos taurus (Bovine)
Pgenerosa-v1_contig_10095,1.00E-29,Q7SGP2,ATP binding; nucleoside-triphosphatase activity; peroxisome organization,Peroxisomal biogenesis factor 6 (Peroxin-6),Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)
Pgenerosa-v1_contig_10096,0,A7MBL8,"ATP binding; cell adhesion; cell cycle; cell division; cell junction; cleavage furrow; cytoplasm; cytoskeleton; lamellipodium; membrane; midbody; nucleus; protein kinase C activity; regulation of transcription, DNA-dependent; signal transduction; transcription, DNA-dependent",Serine/threonine-protein kinase N2 (EC 2.7.11.13) (PKN gamma) (Protein kinase C-like 2) (Protein-kinase C-related kinase 2),Danio rerio (Zebrafish) (Brachydanio rerio)
Pgenerosa-v1_contig_101,5.00E-15,P38656,RNA binding; nucleotide binding; nucleus; ribonucleoprotein complex; tRNA processing,Lupus La protein homolog (La autoantigen homolog) (La ribonucleoprotein),Rattus norvegicus (Rat)
Pgenerosa-v1_contig_10103,3.00E-176,Q5RD78,ubiquitin-protein ligase activity,Probable E3 ubiquitin-protein ligase HECTD2 (EC 6.3.2.-) (HECT domain-containing protein 2),Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)
Pgenerosa-v1_contig_10106,1.00E-08,Q5R6Z8,cytoplasm; nucleus,Calcyclin-binding protein (CacyBP),Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)
Pgenerosa-v1_contig_10107,9.00E-24,Q95K09,gamma-tubulin ring complex; microtubule; microtubule binding; microtubule nucleation; spindle pole,Gamma-tubulin complex component 5 (GCP-5) (Fragment),Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)
Pgenerosa-v1_contig_10110,1.00E-132,Q8C0L8,Golgi membrane; Golgi transport complex; cytosol; intra-Golgi vesicle-mediated transport; protein transport,Conserved oligomeric Golgi complex subunit 5 (COG complex subunit 5) (Component of oligomeric Golgi complex 5),Mus musculus (Mouse)
Pgenerosa-v1_contig_10113,0,Q5XGY1,nucleolus; ribosome assembly,Pre-rRNA-processing protein TSR1 homolog,Xenopus laevis (African clawed frog)
Pgenerosa-v1_contig_10114,1.00E-38,P49914,5-formyltetrahydrofolate cyclo-ligase activity; ATP binding; Golgi apparatus; cytosol; folic acid binding; folic acid-containing compound biosynthetic process; formate metabolic process; plasma membrane; tetrahydrofolate metabolic process,"5-formyltetrahydrofolate cyclo-ligase (EC 6.3.3.2) (5,10-methenyl-tetrahydrofolate synthetase) (MTHFS) (Methenyl-THF synthetase)",Homo sapiens (Human)
Pgenerosa-v1_contig_10115,0,B2GV06,3-oxoacid CoA-transferase activity; adipose tissue development; brain development; cellular ketone body metabolic process; cellular response to acid; cellular response to glucose stimulus; heart development; ketone body catabolic process; ketone catabolic process; mitochondrial matrix; mitochondrion; positive regulation of insulin secretion; protein homodimerization activity; response to activity; response to drug; response to ethanol; response to hormone stimulus; response to nutrient; response to starvation,"Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial (EC 2.8.3.5) (3-oxoacid CoA-transferase 1) (Somatic-type succinyl-CoA:3-oxoacid CoA-transferase) (SCOT-s)",Rattus norvegicus (Rat)
Pgenerosa-v1_contig_1012,3.00E-19,Q7Z4Q2,,HEAT repeat-containing protein 3,Homo sapiens (Human)
Pgenerosa-v1_contig_10120,1.00E-67,P23049,ATP binding; non-membrane spanning protein tyrosine kinase activity; peptidyl-tyrosine phosphorylation,Tyrosine-protein kinase transforming protein SEA (EC 2.7.10.2),Avian erythroblastosis virus (strain S13)
Pgenerosa-v1_contig_10121,3.00E-49,Q90XC2,ATP binding; cell division; cytoplasm; heart looping; metal ion binding; mitosis; primary cilium; pronephros formation; protein serine/threonine kinase activity; renal tubule development,Serine/threonine-protein kinase Nek8 (EC 2.7.11.1) (Never in mitosis A-related kinase 8) (NimA-related protein kinase 8),Danio rerio (Zebrafish) (Brachydanio rerio)
Pgenerosa-v1_contig_10122,6.00E-118,Q21086,GTP binding; GTPase activity; germ cell development; nematode larval development; nucleolus; nucleoplasm; regulation of cell proliferation; regulation of multicellular organism growth; ribosome biogenesis,Guanine nucleotide-binding protein-like 3 homolog (Nucleostemin-1),Caenorhabditis elegans
Pgenerosa-v1_contig_10124,6.00E-33,P18850,"Golgi membrane; activation of signaling protein activity involved in unfolded protein response; endoplasmic reticulum membrane; integral to membrane; nuclear envelope; nucleoplasm; positive regulation of transcription from RNA polymerase II promoter involved in unfolded protein response; protein folding; sequence-specific DNA binding; sequence-specific DNA binding transcription factor activity; transcription coactivator activity; transcription, DNA-dependent",Cyclic AMP-dependent transcription factor ATF-6 alpha (cAMP-dependent transcription factor ATF-6 alpha) (Activating transcription factor 6 alpha) (ATF6-alpha) [Cleaved into: Processed cyclic AMP-dependent transcription factor ATF-6 alpha],Homo sapiens (Human)
Pgenerosa-v1_contig_10125,5.00E-122,Q07139,GTPase activator activity; Rho guanyl-nucleotide exchange factor activity; activation of Rac GTPase activity; activation of protein kinase activity; cell morphogenesis; cellular response to calcium ion; cellular response to hydrogen peroxide; cellular response to ionizing radiation; centralspindlin complex; cleavage furrow; cytokinesis; cytoplasm; intracellular signal transduction; midbody; nucleus; positive regulation of Cdc42 GTPase activity; positive regulation of I-kappaB kinase/NF-kappaB cascade; positive regulation of apoptotic process; positive regulation of cytokinesis; positive regulation of neuron differentiation; positive regulation of protein import into nucleus; protein homodimerization activity; protein homooligomerization; protein transport; regulation of attachment of spindle microtubules to kinetochore; signal transducer activity; tight junction; tight junction assembly,Protein ECT2 (Epithelial cell-transforming sequence 2 oncogene),Mus musculus (Mouse)
Pgenerosa-v1_contig_10128,5.00E-117,Q5SW45,TCTN-B9D complex; branching morphogenesis of an epithelial tube; centrosome; cilium assembly; cytoplasm; membrane; microtubule basal body,Meckel syndrome type 1 protein homolog,Mus musculus (Mouse)
Pgenerosa-v1_contig_10129,6.00E-137,Q6DEJ5,"ATP binding; cytoplasm; ligase activity, forming aminoacyl-tRNA and related compounds; metal ion binding; tRNA aminoacylation; translation",Alanyl-tRNA editing protein Aarsd1 (Alanyl-tRNA synthetase domain-containing protein 1),Danio rerio (Zebrafish) (Brachydanio rerio)
Pgenerosa-v1_contig_1013,6.00E-36,Q5RAS6,copper ion transmembrane transporter activity; integral to membrane; plasma membrane,High affinity copper uptake protein 1 (Copper transporter 1) (Solute carrier family 31 member 1),Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)
Pgenerosa-v1_contig_10138,3.00E-56,Q9BX95,apoptotic process; endoplasmic reticulum membrane; integral to membrane; small molecule metabolic process; sphinganine-1-phosphate metabolic process; sphingolipid biosynthetic process; sphingosine metabolic process; sphingosine-1-phosphate phosphatase activity,Sphingosine-1-phosphate phosphatase 1 (SPPase1) (Spp1) (hSPP1) (hSPPase1) (EC 3.1.3.-) (Sphingosine-1-phosphatase 1),Homo sapiens (Human)
Pgenerosa-v1_contig_1014,7.00E-74,F1MJR8,ATP binding; attachment of spindle microtubules to kinetochore; cell division; condensed chromosome kinetochore; cytoplasm; intercellular bridge; intercellular bridge organization; kinetochore; male meiosis; midbody; mitotic sister chromatid separation; mitotic spindle assembly checkpoint; negative regulation of cytokinesis; negative regulation of protein binding; protein kinase activity,Inactive serine/threonine-protein kinase TEX14 (Testis-expressed sequence 14) (Testis-expressed sequence 14 protein),Bos taurus (Bovine)
Pgenerosa-v1_contig_10140,6.00E-34,O60294,methyltransferase activity; tRNA processing,Leucine carboxyl methyltransferase 2 (EC 2.1.1.-) (p21WAF1/CIP1 promoter-interacting protein) (tRNA wybutosine-synthesizing protein 4 homolog) (tRNA yW-synthesizing protein 4 homolog),Homo sapiens (Human)
Pgenerosa-v1_contig_10141,7.00E-76,Q9Y345,glycine:sodium symporter activity; integral to membrane; neurotransmitter:sodium symporter activity; plasma membrane; synaptic transmission,Sodium- and chloride-dependent glycine transporter 2 (GlyT-2) (GlyT2) (Solute carrier family 6 member 5),Homo sapiens (Human)
Pgenerosa-v1_contig_10142,5.00E-156,,,,
Pgenerosa-v1_contig_1015,2.00E-12,Q9DGK4,cytoplasm,Translationally-controlled tumor protein homolog (TCTP),Danio rerio (Zebrafish) (Brachydanio rerio)
Pgenerosa-v1_contig_10152,1.00E-63,P01122,GTP binding; intracellular; plasma membrane; small GTPase mediated signal transduction,Ras-like GTP-binding protein RHO,Aplysia californica (California sea hare)
Pgenerosa-v1_contig_10153,7.00E-50,Q5E9D6,hydrolase activity; mitochondrion,Haloacid dehalogenase-like hydrolase domain-containing protein 3,Bos taurus (Bovine)
Pgenerosa-v1_contig_10155,5.00E-72,O43312,actin cytoskeleton; actin cytoskeleton organization; actin filament polymerization; actin monomer binding; cell adhesion; cellular component movement; cellular response to fluid shear stress; endocytic vesicle; epithelial cell proliferation involved in renal tubule morphogenesis; filopodium assembly; glomerulus morphogenesis; microspike assembly; negative regulation of epithelial cell proliferation; nephron tubule epithelial cell differentiation; ruffle; transmembrane receptor protein tyrosine kinase signaling pathway,Metastasis suppressor protein 1 (Metastasis suppressor YGL-1) (Missing in metastasis protein),Homo sapiens (Human)
Pgenerosa-v1_contig_1016,8.00E-84,A0AVK6,"cell cycle comprising mitosis without cytokinesis; cell proliferation; chorionic trophoblast cell differentiation; core promoter binding; hepatocyte differentiation; negative regulation of cytokinesis; negative regulation of transcription from RNA polymerase II promoter; nucleus; positive regulation of DNA endoreduplication; positive regulation of transcription from RNA polymerase II promoter; sequence-specific DNA binding transcription factor activity; sprouting angiogenesis; transcription corepressor activity; transcription factor complex; transcription, DNA-dependent; trophoblast giant cell differentiation",Transcription factor E2F8 (E2F-8),Homo sapiens (Human)
Pgenerosa-v1_contig_10160,0,A5PN09,centrosome; cysteine-type endopeptidase activity; endocytosis; perinuclear region of cytoplasm; protein K48-linked deubiquitination; protein K63-linked deubiquitination; regulation of G-protein coupled receptor protein signaling pathway; ubiquitin thiolesterase activity; ubiquitin-dependent protein catabolic process; zinc ion binding,Ubiquitin carboxyl-terminal hydrolase 20 (EC 3.4.19.12) (Deubiquitinating enzyme 20) (Ubiquitin thioesterase 20) (Ubiquitin-specific-processing protease 20),Danio rerio (Zebrafish) (Brachydanio rerio)
Pgenerosa-v1_contig_10162,7.00E-85,Q8CD10,calcium channel complex; calcium ion binding; elevation of mitochondrial calcium ion concentration; mitochondrial calcium ion transport; mitochondrion,"Calcium uptake protein 2, mitochondrial (EF-hand domain-containing family member A1)",Mus musculus (Mouse)
Pgenerosa-v1_contig_10178,9.00E-132,P49354,CAAX-protein geranylgeranyltransferase activity; alpha-tubulin binding; cellular component disassembly involved in execution phase of apoptosis; cytosol; microtubule associated complex; microtubule binding; positive regulation of deacetylase activity; positive regulation of tubulin deacetylation; protein farnesylation; protein farnesyltransferase activity; protein geranylgeranylation; protein geranylgeranyltransferase activity; regulation of rhodopsin mediated signaling pathway; rhodopsin mediated signaling pathway; transforming growth factor beta receptor signaling pathway,Protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha (EC 2.5.1.58) (EC 2.5.1.59) (CAAX farnesyltransferase subunit alpha) (FTase-alpha) (Ras proteins prenyltransferase subunit alpha) (Type I protein geranyl-geranyltransferase subunit alpha) (GGTase-I-alpha),Homo sapiens (Human)
Pgenerosa-v1_contig_1018,8.00E-143,Q7ZY18,ATP binding; DNA binding; DNA duplex unwinding; DNA helicase activity; DNA replication initiation; MCM complex; cell cycle; metal ion binding; nucleus; regulation of DNA-dependent DNA replication initiation,Zygotic DNA replication licensing factor mcm6-B (EC 3.6.4.12) (Zygotic minichromosome maintenance protein 6-B) (zMCM6-B) (zMCM6b),Xenopus laevis (African clawed frog)
Pgenerosa-v1_contig_10182,4.00E-19,Q5VXD3,,Sterile alpha motif domain-containing protein 13 (SAM domain-containing protein 13),Homo sapiens (Human)
Pgenerosa-v1_contig_10183,4.00E-130,Q64270,GDP binding; GTP binding; enzyme regulator activity; eukaryotic translation initiation factor 2 complex; eukaryotic translation initiation factor 2B complex; guanyl-nucleotide exchange factor activity; negative regulation of translational initiation in response to stress; oligodendrocyte development; plasma membrane; response to glucose stimulus; response to heat; response to peptide hormone stimulus; translation initiation factor activity,Translation initiation factor eIF-2B subunit alpha (eIF-2B GDP-GTP exchange factor subunit alpha),Rattus norvegicus (Rat)
Pgenerosa-v1_contig_10184,2.00E-179,Q96RW7,basement membrane; calcium ion binding; cell cortex; cell junction; response to stimulus; visual perception,Hemicentin-1 (Fibulin-6) (FIBL-6),Homo sapiens (Human)
Pgenerosa-v1_contig_10185,9.00E-159,Q8R0G9,condensed chromosome outer kinetochore; mRNA export from nucleus; nuclear pore organization; nuclear pore outer ring; nucleocytoplasmic transporter activity; paraxial mesoderm development; protein transport,Nuclear pore complex protein Nup133 (133 kDa nucleoporin) (Nucleoporin Nup133),Mus musculus (Mouse)
Pgenerosa-v1_contig_10188,3.00E-86,Q6AYU1,"NuA4 histone acetyltransferase complex; Sin3 complex; cell proliferation; chromatin binding; double-strand break repair via homologous recombination; histone H2A acetylation; histone H4 acetylation; histone deacetylation; regulation of growth; regulation of transcription, DNA-dependent; transcription, DNA-dependent",Mortality factor 4-like protein 1 (MORF-related gene 15 protein) (Transcription factor-like protein MRG15),Rattus norvegicus (Rat)
Pgenerosa-v1_contig_10189,3.00E-163,Q5R971,heme biosynthetic process; lead ion binding; porphobilinogen synthase activity; protoporphyrinogen IX biosynthetic process; zinc ion binding,Delta-aminolevulinic acid dehydratase (ALADH) (EC 4.2.1.24) (Porphobilinogen synthase),Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)
